lgID,yearID,Total_1B,Total_2B,Total_3B,Total_HR,Total_AB,Slugging_Pct,DH_allowed
NL,2020,7245,1402,126,1161,29399,0.5126364842341576,DH
NL,1919,9603,1315,517,207,37284,0.39191073919107394,No DH
AL,1946,10793,1827,401,653,42239,0.432349250692488,No DH
NL,2009,22741,4606,561,2482,87884,0.4956988757908152,No DH
AL,1981,13016,2119,305,1062,50813,0.4411666305866609,DH
NL,1989,16215,2903,411,1365,65817,0.4362702645213243,No DH
AL,1919,10021,1607,531,240,37387,0.42228582127477465,No DH
AA,1885,7789,1026,553,149,31602,0.38276058477311564,No DH
NL,1889,9986,1522,465,371,37538,0.4238105386541638,No DH
NL,1926,11755,1948,589,439,42009,0.4564260039515342,No DH
NL,2012,22283,4453,558,2434,87814,0.48510488077071995,No DH
AL,1932,12015,2286,570,707,43419,0.4865381515004952,No DH
NL,1881,6339,1068,304,76,24377,0.39754686794929645,No DH
AL,1916,10147,1540,552,144,40833,0.37859084563955625,No DH
NL,1923,12348,1912,588,538,43216,0.4648278415401703,No DH
NL,1924,12009,1881,622,499,42445,0.4625515372835434,No DH
AL,1920,11899,2005,621,369,41981,0.4584931278435483,No DH
NL,1968,13351,1995,359,891,54913,0.40030593848451185,No DH
NL,1904,10225,1369,544,175,41009,0.37296690970274815,No DH
AL,1902,10451,1660,569,258,38005,0.43441652414156035,No DH
AL,2022,19839,3956,295,2557,81816,0.4750171115674196,DH
AL,2024,19551,3808,337,2714,81560,0.4785924472780775,DH
NL,1950,11085,1885,370,1100,42416,0.48012542436816297,No DH
NL,1963,13434,1984,439,1215,54803,0.4302501687863803,No DH
NL,1931,11883,2188,532,493,42941,0.46172655504063714,No DH
NL,1888,8943,1200,509,333,37456,0.3791648868005126,No DH
AL,1967,12766,1949,365,1197,54179,0.41615755181897046,No DH
AL,1950,11474,1829,423,973,42407,0.47852948805621714,No DH
AL,1959,10621,1690,267,1091,41964,0.45672481174339913,No DH
AL,1958,10595,1623,290,1057,41684,0.45434699165147296,No DH
NL,1999,23880,4619,512,2893,89011,0.5193290716877689,No DH
AL,1994,15048,2939,325,1774,55198,0.525327004601616,DH
AL,1975,16861,2662,429,1465,65371,0.44870049410288965,DH
NL,1940,11328,1934,416,688,42986,0.44656399758060766,No DH
NL,1943,10945,1739,388,432,42488,0.40752683110525323,No DH
AL,2019,21154,4318,385,3478,83557,0.5368431130844813,DH
AL,1940,11674,2167,513,883,43017,0.49001557523769673,No DH
NL,1878,3539,481,132,23,13644,0.3656552330694811,No DH
AL,1909,9749,1272,500,109,39975,0.35594746716697934,No DH
NL,2005,23058,4754,468,2580,88120,0.5026100771674988,No DH
AL,2014,21033,4132,390,2161,83123,0.47051959144881683,DH
NL,1887,9624,1450,711,383,35812,0.45205517703563053,No DH
NL,2022,19836,3984,348,2658,81649,0.48353317248221045,DH
NL,1998,23213,4493,491,2565,88700,0.49528748590755356,No DH
NL,2021,19522,3907,354,2885,80604,0.4954840950821299,No DH
AL,1926,11750,2194,568,424,41743,0.46805452411182713,No DH
NL,1980,17186,2856,523,1243,66272,0.4442147513278609,No DH
AL,1990,19900,3559,460,1796,76800,0.4633072916666667,DH
NL,1995,18184,3367,418,1917,69049,0.49008674998913815,No DH
NL,1975,17002,2781,458,1233,66102,0.43674926628543764,No DH
AL,2018,20615,4271,390,2900,82710,0.5069157296578406,DH
NL,2017,20985,4203,461,2935,82533,0.5151151660547902,No DH
AL,1949,10961,1737,391,769,41669,0.4483908901101538,No DH
AL,1954,10766,1639,386,823,41909,0.4412894604977451,No DH
NL,1890,9538,1376,586,257,37587,0.401096123659776,No DH
AL,1966,13005,2021,408,1365,54082,0.43879664213601566,No DH
NL,1997,20300,3907,485,2163,77203,0.49507143504786083,No DH
NL,1885,7516,1167,412,174,31123,0.3785624779102272,No DH
AL,1982,20566,3493,519,2080,77886,0.4805613332306191,DH
NL,1945,11343,1823,336,577,42823,0.42745720757536837,No DH
NL,1990,16917,2967,405,1521,65968,0.4570397768615086,No DH
NL,1986,16643,2991,387,1523,65730,0.4545565190932603,No DH
AL,1953,11117,1816,331,879,42358,0.4546484725435573,No DH
AL,1979,20682,3529,548,2006,76704,0.4876929495202336,DH
NL,1913,10812,1594,645,311,41301,0.4159463451248154,No DH
NL,1899,17741,2201,1011,352,62846,0.4230022594914553,No DH
AL,1957,10703,1663,307,1024,41987,0.45361659561292783,No DH
NL,1883,7611,1527,468,124,29012,0.43309664966220873,No DH
AL,2015,21159,4166,459,2634,82836,0.49983099135641507,DH
NL,1930,13260,2386,625,892,43693,0.5372714164740348,No DH
NL,1877,3705,431,204,24,13667,0.3859661959464403,No DH
AL,2004,21251,4232,404,2605,78731,0.5251679770357293,DH
AL,1972,14751,2260,316,1175,61712,0.4037950479647394,No DH
NL,1897,16522,2322,964,368,56663,0.45055856555424173,No DH
NL,1910,10384,1516,592,214,40615,0.3951249538347901,No DH
NL,1982,17085,2823,445,1299,66263,0.4416039116852542,No DH
NL,1958,11026,1769,365,1183,42143,0.4838525971098403,No DH
AL,1962,14068,2238,400,1552,55239,0.46981299444233243,No DH
NL,1879,6171,958,317,58,24155,0.38377147588490995,No DH
PL,1890,10589,1576,749,320,38653,0.4467441078312162,No DH
AL,1999,21447,4121,419,2635,78126,0.5310140030207613,DH
AL,2021,19962,3956,317,3059,81337,0.5048256021244943,DH
NL,1921,12266,1839,670,460,42376,0.4671040211440438,No DH
AA,1884,11065,1574,833,243,46186,0.3828865890096566,No DH
AL,1910,9948,1299,568,147,40936,0.36246824311119796,No DH
AA,1883,7217,960,478,114,28658,0.3847791192686161,No DH
AL,1934,11966,2206,449,688,42929,0.4769969018612127,No DH
NL,1952,10582,1672,338,907,41878,0.4433831606093892,No DH
NL,1886,8524,1340,506,249,33997,0.40350619172279906,No DH
NL,2023,20525,4098,370,2943,82094,0.5067727239505933,DH
NL,1974,16907,2642,447,1280,66212,0.4327312269679212,No DH
NL,1918,8583,1119,475,139,33780,0.37898164594434575,No DH
NL,1944,11193,1882,395,575,42917,0.42971316727637066,No DH
AL,2011,20004,4005,411,2271,77586,0.4940453174541799,DH
AL,1947,10739,1708,412,679,42002,0.43109851911813724,No DH
AL,1973,17193,2624,404,1552,66276,0.45055525378719297,DH
AL,1931,12163,2320,538,576,43683,0.4743492891971705,No DH
NL,1896,16141,2166,1006,404,55577,0.45175162387318496,No DH
NL,1876,5338,633,181,40,20121,0.36315292480493017,No DH
NL,1932,12091,2293,502,651,43763,0.47499028859995884,No DH
AL,2023,20314,4130,342,2925,82324,0.5016763033866187,DH
AL,1937,12178,2294,539,806,43303,0.49897235757337827,No DH
AA,1888,9057,1251,545,188,37983,0.3671642576942316,No DH
AL,1905,9783,1531,479,156,40623,0.36693498756861875,No DH
AA,1890,9345,1258,560,187,37003,0.3861578790908845,No DH
NA,1871,3101,434,239,47,10822,0.45037885788209203,No DH
